"subject" "activity_name" "average"
1 "WALKING" 6690.07368421053
1 "WALKING_UPSTAIRS" 5622.2641509434
1 "WALKING_DOWNSTAIRS" 6732.44897959184
1 "SITTING" 6459.34042553191
1 "STANDING" 6808.43396226415
1 "LAYING" 7385.86
2 "WALKING" 1433.30508474576
2 "WALKING_UPSTAIRS" 1100.52083333333
2 "WALKING_DOWNSTAIRS" 1546
2 "SITTING" 1382.28260869565
2 "STANDING" 1511.55555555556
2 "LAYING" 1667.83333333333
3 "WALKING" 6244.39655172414
3 "WALKING_UPSTAIRS" 6467.83050847458
3 "WALKING_DOWNSTAIRS" 7036.79591836735
3 "SITTING" 6403.40384615385
3 "STANDING" 6630.34426229508
3 "LAYING" 6294.22580645161
4 "WALKING" 1455.48333333333
4 "WALKING_UPSTAIRS" 1355.48076923077
4 "WALKING_DOWNSTAIRS" 1463.6
4 "SITTING" 1466.06
4 "STANDING" 1567.67857142857
4 "LAYING" 1654.11111111111
5 "WALKING" 6557.35714285714
5 "WALKING_UPSTAIRS" 6847.85106382979
5 "WALKING_DOWNSTAIRS" 7123.82978723404
5 "SITTING" 6566.5
5 "STANDING" 6819.14285714286
5 "LAYING" 6647.84615384615
6 "WALKING" 6811.0701754386
6 "WALKING_UPSTAIRS" 6152.47058823529
6 "WALKING_DOWNSTAIRS" 6912.10416666667
6 "SITTING" 6444.41818181818
6 "STANDING" 6471.0701754386
6 "LAYING" 6770.1052631579
7 "WALKING" 6548.36842105263
7 "WALKING_UPSTAIRS" 6408
7 "WALKING_DOWNSTAIRS" 6692.65957446809
7 "SITTING" 6831.58333333333
7 "STANDING" 6891.69811320755
7 "LAYING" 6455.36538461538
8 "WALKING" 6571.4375
8 "WALKING_UPSTAIRS" 6079.60975609756
8 "WALKING_DOWNSTAIRS" 6671.76315789474
8 "SITTING" 6327.63043478261
8 "STANDING" 6839.68518518519
8 "LAYING" 6566.40740740741
9 "WALKING" 1533.76923076923
9 "WALKING_UPSTAIRS" 1145.65306122449
9 "WALKING_DOWNSTAIRS" 1729.64285714286
9 "SITTING" 1561.94
9 "STANDING" 1616.33333333333
9 "LAYING" 1544.92
10 "WALKING" 1505.8679245283
10 "WALKING_UPSTAIRS" 1200.87234042553
10 "WALKING_DOWNSTAIRS" 1644.92105263158
10 "SITTING" 1462.90740740741
10 "STANDING" 1531.27272727273
10 "LAYING" 1459.75862068966
11 "WALKING" 6126.89830508475
11 "WALKING_UPSTAIRS" 6438.55555555556
11 "WALKING_DOWNSTAIRS" 6907.45652173913
11 "SITTING" 6468.45283018868
11 "STANDING" 6668.59574468085
11 "LAYING" 6720.87719298246
12 "WALKING" 1462.02
12 "WALKING_UPSTAIRS" 1433.92307692308
12 "WALKING_DOWNSTAIRS" 1519.0652173913
12 "SITTING" 1491.50980392157
12 "STANDING" 1492.27868852459
12 "LAYING" 1437.68333333333
13 "WALKING" 1452.63157894737
13 "WALKING_UPSTAIRS" 1313.01818181818
13 "WALKING_DOWNSTAIRS" 1694.44680851064
13 "SITTING" 1499
13 "STANDING" 1455.91228070175
13 "LAYING" 1323.58064516129
14 "WALKING" 6057.71186440678
14 "WALKING_UPSTAIRS" 6430.05555555556
14 "WALKING_DOWNSTAIRS" 7123.53333333333
14 "SITTING" 6818.85185185185
14 "STANDING" 6598.43333333333
14 "LAYING" 7533.86274509804
15 "WALKING" 6530.18518518519
15 "WALKING_UPSTAIRS" 6325.89583333333
15 "WALKING_DOWNSTAIRS" 6494.28571428571
15 "SITTING" 6674.52542372881
15 "STANDING" 6662
15 "LAYING" 6563.91666666667
16 "WALKING" 6384.49019607843
16 "WALKING_UPSTAIRS" 6522.54901960784
16 "WALKING_DOWNSTAIRS" 7315.1914893617
16 "SITTING" 6699.20289855072
16 "STANDING" 6691.41025641026
16 "LAYING" 6633.68571428571
17 "WALKING" 6242.90163934426
17 "WALKING_UPSTAIRS" 6129.60416666667
17 "WALKING_DOWNSTAIRS" 7027.67391304348
17 "SITTING" 6560.1875
17 "STANDING" 6426.61538461538
17 "LAYING" 6415.15492957746
18 "WALKING" 1438.23214285714
18 "WALKING_UPSTAIRS" 1457.93103448276
18 "WALKING_DOWNSTAIRS" 1680.92727272727
18 "SITTING" 1514.56140350877
18 "STANDING" 1585.1095890411
18 "LAYING" 1457.41538461538
19 "WALKING" 6499.40384615385
19 "WALKING_UPSTAIRS" 6695.05
19 "WALKING_DOWNSTAIRS" 7172.94871794872
19 "SITTING" 6358.39726027397
19 "STANDING" 6678.47945205479
19 "LAYING" 6131.28915662651
20 "WALKING" 1371.11764705882
20 "WALKING_UPSTAIRS" 1340.47058823529
20 "WALKING_DOWNSTAIRS" 1673.2
